Unnamed: 0,speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_6,cluster_0,cluster_7,cluster_1,cluster_2,cluster_9,cluster_4,cluster_12,cluster_11,cluster_5,cluster_8,cluster_10,cluster_3,cluster_6_p,cluster_0_p,cluster_7_p,cluster_1_p,cluster_2_p,cluster_9_p,cluster_4_p,cluster_12_p,cluster_11_p,cluster_5_p,cluster_8_p,cluster_10_p,cluster_3_p,n
465,44052681,440000572,EDMUNDS,GEORGE,S,VT,M,R,,voting,18750316,1828-02-01,1828,1875,47,0.0,0,0,1,0,8,0,1,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
27595,44048690,440039384,JOYCE,CHARLES,H,VT,M,R,1.0,voting,18760518,1830-01-30,1830,1876,46,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
62649,44063481,440088340,MITCHELL,JOHN,S,OR,M,R,,voting,18770109,1835-06-22,1835,1877,42,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9
65900,44047320,440093433,GOODE,JOHN,H,VA,M,D,2.0,voting,18770125,1829-05-27,1829,1877,48,0.0,0,2,0,0,7,0,1,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
73298,44060930,440104724,HOLMAN,WILLIAM,H,IN,M,D,5.0,voting,18770221,1822-09-06,1822,1877,55,0.0,0,0,0,0,1,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,10
75516,44044220,440108045,CARR,NATHAN,H,IN,M,D,3.0,voting,18770226,1833-12-25,1833,1877,44,0.0,0,7,0,0,1,0,0,0,0,0,1,0,0,0.0,0.7777777777777778,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,9
2042,45047710,450003165,PRICE,HIRAM,H,IA,M,R,2.0,voting,18771107,1814-01-10,1814,1877,63,0.0,0,2,0,0,7,0,0,0,0,0,0,0,0,0.0,0.2222222222222222,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
91324,45063481,450018893,MITCHELL,JOHN,S,OR,M,R,,voting,18780128,1835-06-22,1835,1878,43,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9
91518,45045660,450029452,BUTLER,BENJAMIN,H,MA,M,R,7.0,voting,18780226,1818-11-05,1818,1878,60,0.0,0,3,2,1,0,0,3,0,0,1,0,0,0,0.0,0.3,0.2,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,10
33702,45043421,450049143,SARGENT,AARON,S,CA,M,R,,voting,18780417,1827-09-28,1827,1878,51,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
39440,45045880,450057846,FENN,STEPHEN,H,ID,M,D,-1.0,nonvoting,18780502,1820-03-28,1820,1878,58,0.0,1,4,0,1,1,1,1,0,0,1,0,0,0,0.1,0.4,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10
41673,45052681,450061089,EDMUNDS,GEORGE,S,VT,M,R,,voting,18780509,1828-02-01,1828,1878,50,0.0,0,0,0,0,1,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,10
93529,45063481,450099275,MITCHELL,JOHN,S,OR,M,R,,voting,18790110,1835-06-22,1835,1879,44,0.0,6,15,3,3,34,0,77,0,0,1,0,0,0,0.04316546762589928,0.1079136690647482,0.02158273381294964,0.02158273381294964,0.2446043165467626,0.0,0.5539568345323741,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,139
75566,45049531,450111236,ANTHONY,HENRY,S,RI,M,R,,voting,18790212,1815-04-01,1815,1879,64,0.0,1,0,3,1,0,0,0,0,0,5,0,0,0,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,10
93957,45063521,450112095,MORGAN,JOHN,S,AL,M,D,,voting,18790213,1824-06-20,1824,1879,55,0.0,0,9,0,0,0,0,1,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
7586,46051150,460010363,BRAGG,EDWARD,H,WI,M,D,5.0,voting,18790424,1827-02-20,1827,1879,52,0.0,0,6,0,2,2,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
126451,46075440,460027605,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18790606,1836-05-07,1836,1879,43,1.6940674919944226e-22,0,0,0,0,9,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
47937,46061200,460068609,MCMILLIN,BENTON,H,TN,M,D,4.0,voting,18800319,1845-09-11,1845,1880,35,0.0,1,4,0,1,3,0,0,0,0,1,0,0,0,0.1,0.4,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
82592,46053671,460118741,BECK,JAMES,S,KY,M,D,,voting,18800609,1822-02-13,1822,1880,58,0.0,0,4,0,0,6,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
84635,46051161,460122009,BROWN,JOSEPH,S,GA,M,D,,voting,18800612,1821-04-15,1821,1880,59,0.0,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
133393,46061570,460152373,UPDEGRAFF,THOMAS,H,IA,M,R,3.0,voting,18810212,1834-04-03,1834,1881,47,0.0,1,0,0,5,2,0,1,0,0,1,0,0,0,0.1,0.0,0.0,0.5,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10
133513,46061570,460155108,UPDEGRAFF,THOMAS,H,IA,M,R,3.0,voting,18810215,1834-04-03,1834,1881,47,0.0,0,2,1,0,15,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.05555555555555555,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
111482,46055500,460161316,BLOUNT,JAMES,H,GA,M,D,6.0,voting,18810223,1837-09-12,1837,1881,44,7.904950359188234e-18,0,0,0,1,1,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,10
9011,47048840,470015736,MCCOOK,ANSON,H,NY,M,R,8.0,voting,18820124,1835-10-10,1835,1882,47,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
147316,47049340,470027852,UPDEGRAFF,JONATHAN,H,OH,M,R,16.0,voting,18820221,1822-05-13,1822,1882,60,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
19081,47051641,470031648,INGALLS,JOHN,S,KS,M,R,,voting,18820303,1833-12-29,1833,1882,49,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
19212,47051150,470031866,BRAGG,EDWARD,H,WI,M,D,5.0,voting,18820303,1827-02-20,1827,1882,55,0.0,0,2,0,0,8,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
19345,47049150,470032096,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18820304,1829-03-16,1829,1882,53,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
21497,47053760,470035452,BROWNE,THOMAS,H,IN,M,R,6.0,voting,18820310,1829-04-19,1829,1882,53,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9
24596,47063521,470040182,MORGAN,JOHN,S,AL,M,D,,voting,18820321,1824-06-20,1824,1882,58,0.0,0,3,0,3,8,0,4,0,0,2,0,0,0,0.0,0.15,0.0,0.15,0.4,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,20
148259,47048651,470041714,JONES,CHARLES,S,FL,M,D,,voting,18820324,1834-12-24,1834,1882,48,0.0,0,1,0,1,0,0,0,0,0,8,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,10
30659,47061200,470049041,MCMILLIN,BENTON,H,TN,M,D,4.0,voting,18820407,1845-09-11,1845,1882,37,0.0,0,2,0,0,0,0,7,0,0,0,0,0,0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,9
30663,47050590,470049048,RAY,OSSIAN,H,NH,M,R,3.0,voting,18820407,1835-12-13,1835,1882,47,0.0,0,0,0,0,1,0,17,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,18
148950,47052010,470052223,RICE,WILLIAM,H,MA,M,R,9.0,voting,18820417,1826-03-07,1826,1882,56,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
150638,47053990,470073133,COX,SAMUEL,H,NY,M,D,6.0,voting,18820529,1824-09-30,1824,1882,58,0.0,0,4,0,1,5,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
48984,47054340,470076926,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18820605,1814-04-12,1814,1882,68,0.0,3,11,2,3,1,0,0,0,0,0,0,0,0,0.15,0.55,0.1,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
48987,47054340,470076930,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18820605,1814-04-12,1814,1882,68,7.730636034024923e-16,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
152227,47053990,470095805,COX,SAMUEL,H,NY,M,D,6.0,voting,18820701,1824-09-30,1824,1882,58,0.0,0,0,0,0,0,0,18,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18
62304,47051860,470096882,MORRISON,WILLIAM,H,IL,M,D,17.0,voting,18820703,1824-09-14,1824,1882,58,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
62322,47050500,470096904,PEELLE,STANTON,H,IN,M,R,7.0,voting,18820703,1843-02-11,1843,1882,39,0.0,0,16,3,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
62325,47048120,470096909,BRIGGS,JAMES,H,NH,M,R,2.0,voting,18820703,1827-10-23,1827,1882,55,0.0,0,18,2,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
74679,47053671,470114789,BECK,JAMES,S,KY,M,D,,voting,18820725,1822-02-13,1822,1882,60,0.0,0,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
75428,47046491,470115838,ROLLINS,EDWARD,S,NH,M,R,,voting,18820726,1824-10-03,1824,1882,58,0.0,0,0,0,0,8,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
81529,47060930,470125018,HOLMAN,WILLIAM,H,IN,M,D,4.0,voting,18820803,1822-09-06,1822,1882,60,0.0,0,1,0,3,5,0,0,0,1,0,0,0,0,0.0,0.1,0.0,0.3,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
82843,47063521,470126914,MORGAN,JOHN,S,AL,M,D,,voting,18820805,1824-06-20,1824,1882,58,0.0,0,4,0,1,5,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
86207,47053760,470131764,BROWNE,THOMAS,H,IN,M,R,6.0,voting,18821208,1829-04-19,1829,1882,53,0.0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9
86210,47050590,470131767,RAY,OSSIAN,H,NH,M,R,3.0,voting,18821208,1835-12-13,1835,1882,47,0.0,0,3,0,0,0,0,15,0,0,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,18
102906,47051161,470156265,BROWN,JOSEPH,S,GA,M,D,,voting,18830123,1821-04-15,1821,1883,62,0.0,1,7,1,1,0,0,0,0,0,0,0,0,0,0.1,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
105242,47061840,470159801,BLAND,RICHARD,H,MO,M,D,5.0,voting,18830127,1835-08-19,1835,1883,48,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
110880,47058411,470167910,SHERMAN,JOHN,S,OH,M,R,,voting,18830205,1823-05-10,1823,1883,60,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
30301,48049790,480047464,CULBERTSON,WILLIAM,H,KY,M,R,9.0,voting,18840422,1835-09-22,1835,1884,49,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
98466,48063650,480051761,RAY,GEORGE,H,NY,M,R,21.0,voting,18840430,1844-02-03,1844,1884,40,0.0,0,1,0,2,4,0,3,0,0,0,0,0,0,0.0,0.1,0.0,0.2,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10
34091,48050990,480053532,WOODWARD,GILBERT,H,WI,M,D,7.0,voting,18840505,1835-12-25,1835,1884,49,0.0,0,18,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
92584,48051161,480103799,BROWN,JOSEPH,S,GA,M,D,,voting,18850116,1821-04-15,1821,1885,64,0.0,0,5,4,1,0,0,0,0,0,0,0,0,0,0.0,0.5,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
15228,49052990,490023826,LAFFOON,POLK,H,KY,M,D,2.0,voting,18860306,1844-10-24,1844,1886,42,0.0,0,1,0,0,8,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
27918,49066840,490044109,HEPBURN,WILLIAM,H,IA,M,R,8.0,voting,18860428,1833-11-04,1833,1886,53,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
28122,49053671,490044373,BECK,JAMES,S,KY,M,D,,voting,18860429,1822-02-13,1822,1886,64,0.0,0,2,0,0,8,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
37921,49053310,490059291,SCOTT,WILLIAM,H,PA,M,D,27.0,voting,18860524,1828-07-02,1828,1886,58,0.0,1,0,0,1,14,0,2,0,1,1,0,0,0,0.05,0.0,0.0,0.05,0.7,0.0,0.1,0.0,0.05,0.05,0.0,0.0,0.0,20
38142,49075440,490059631,CANNON,JOSEPH,H,IL,M,R,15.0,voting,18860525,1836-05-07,1836,1886,50,0.0,0,1,0,0,7,0,2,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
119368,49063250,490059774,HENDERSON,DAVID,H,IA,M,R,3.0,voting,18860525,1840-03-14,1840,1886,46,0.0,0,0,0,0,9,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
38286,49052660,490059803,DUNHAM,RANSOM,H,IL,M,R,1.0,voting,18860525,1838-03-21,1838,1886,48,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
38403,49054150,490059980,FARQUHAR,JOHN,H,NY,M,R,32.0,voting,18860525,1832-04-17,1832,1886,54,0.0,0,1,0,0,8,0,1,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
38533,49062170,490060155,GROUT,WILLIAM,H,VT,M,R,2.0,voting,18860525,1836-05-24,1836,1886,50,0.0,0,1,0,0,16,0,2,0,0,1,0,0,0,0.0,0.05,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.05,0.0,0.0,0.0,20
40710,49051390,490063643,EVANS,ISAAC,H,PA,M,R,7.0,voting,18860601,1827-07-29,1827,1886,59,0.0,1,0,0,0,8,0,1,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
49186,49056050,490076566,HERBERT,HILARY,H,AL,M,D,2.0,voting,18860617,1834-03-12,1834,1886,52,0.0,0,9,0,0,0,0,0,0,1,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
121716,49053600,490087288,ANDERSON,JOHN,H,KS,M,R,5.0,voting,18860702,1834-06-26,1834,1886,52,0.0,0,1,1,2,4,0,1,0,0,0,1,0,0,0.0,0.1,0.1,0.2,0.4,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,10
86960,49064031,490134039,ALLISON,WILLIAM,S,IA,M,R,,voting,18870131,1829-03-02,1829,1887,58,0.0,0,4,0,0,6,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
113936,49058710,490145071,WILSON,WILLIAM,H,WV,M,D,2.0,voting,18870216,1843-05-03,1843,1887,44,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
99343,49056050,490153361,HERBERT,HILARY,H,AL,M,D,2.0,voting,18870226,1834-03-12,1834,1887,53,0.0,0,2,0,0,6,0,1,0,0,0,0,0,0,0.0,0.2222222222222222,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,9
123502,50051161,500003895,BROWN,JOSEPH,S,GA,M,D,,voting,18880116,1821-04-15,1821,1888,67,0.0,0,8,0,0,9,0,1,0,0,0,0,0,0,0.0,0.4444444444444444,0.0,0.0,0.5,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,18
7028,50064751,500010722,PLATT,ORVILLE,S,CT,M,R,,voting,18880206,1827-07-19,1827,1888,61,0.0,0,6,2,0,2,0,0,0,0,0,0,0,0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
125586,50061251,500039389,MORRILL,JUSTIN,S,VT,M,R,,voting,18880411,1810-04-14,1810,1888,78,0.0,0,5,5,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
29140,50057130,500045324,BYNUM,WILLIAM,H,IN,M,D,7.0,voting,18880425,1846-06-26,1846,1888,42,0.0,0,8,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
34553,50075440,500053842,CANNON,JOSEPH,H,IL,M,R,15.0,voting,18880517,1836-05-07,1836,1888,52,0.0,4,6,0,4,10,0,6,0,0,0,0,0,0,0.13333333333333333,0.2,0.0,0.13333333333333333,0.3333333333333333,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,30
48083,50059401,500073944,HARRIS,ISHAM,S,TN,M,D,,voting,18880625,1818-02-10,1818,1888,70,0.0,0,4,3,1,2,0,0,0,0,0,0,0,0,0.0,0.4,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
129096,50063521,500102665,MORGAN,JOHN,S,AL,M,D,,voting,18880809,1824-06-20,1824,1888,64,0.0,0,19,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
67792,50053671,500104079,BECK,JAMES,S,KY,M,D,,voting,18880813,1822-02-13,1822,1888,66,0.0,0,0,0,0,1,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,9
129264,50063521,500105393,MORGAN,JOHN,S,AL,M,D,,voting,18880815,1824-06-20,1824,1888,64,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
